CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682493;Preferencial Classe A;27657084;5.049000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682505;Preferencial Classe A;1026563;0.187000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682513;Preferencial Classe A;513281;0.094000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682533;Preferencial Classe A;6987367;1.276000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682553;Preferencial Classe A;19609792;3.580000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682554;Preferencial Classe A;350606427;64.008000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682554;Preferencial Classe B;66261;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682555;Preferencial Classe A;547752163;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682555;Preferencial Classe B;66261;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682558;Preferencial Classe A;0;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682559;Preferencial Classe A;416296;0.510000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682559;Preferencial Classe B;353008;0.510000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682568;Preferencial Classe E;12;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682578;Preferencial Classe E;12;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682580;Preferencial Classe A;567629;0.696000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682580;Preferencial Classe B;483248;0.699000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682581;Preferencial Classe A;81588066;100.000000
01.417.222/0001-77;2024-12-31;9;147744;MRS LOGISTICA S.A.;7682581;Preferencial Classe B;69178752;100.000000
01.543.032/0001-04;2024-12-31;12;147160;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;7670599;Ordinária Classe O;899481094;100.000000
