CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
33.040.601/0001-87;2024-12-31;6;147513;MERCANTIL FINANCEIRA S.A. - SOC. CRÉDITO, FINANC E INVESTIME;332962;Preferencial Classe A;16914403
33.040.601/0001-87;2024-12-31;6;147513;MERCANTIL FINANCEIRA S.A. - SOC. CRÉDITO, FINANC E INVESTIME;332962;Ordinária Classe A;24080768
33.040.601/0001-87;2024-12-31;6;147513;MERCANTIL FINANCEIRA S.A. - SOC. CRÉDITO, FINANC E INVESTIME;332963;Preferencial Classe A;16914403
33.040.601/0001-87;2024-12-31;6;147513;MERCANTIL FINANCEIRA S.A. - SOC. CRÉDITO, FINANC E INVESTIME;332963;Ordinária Classe A;24080768
33.200.049/0001-47;2024-12-31;5;147651;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;333067;Preferencial Classe A;7894494
33.228.024/0001-51;2024-12-31;9;147518;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;332968;Ordinária Classe A;16571220
33.228.024/0001-51;2024-12-31;9;147518;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;332968;Preferencial Classe A;19843450
33.228.024/0001-51;2024-12-31;9;147518;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;332969;Ordinária Classe A;16571220
33.228.024/0001-51;2024-12-31;9;147518;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;332969;Preferencial Classe A;19843450
33.386.210/0001-19;2024-12-31;3;146744;SONDOTECNICA ENGENHARIA SOLOS S.A.;331632;Preferencial Classe A;784600
33.386.210/0001-19;2024-12-31;3;146744;SONDOTECNICA ENGENHARIA SOLOS S.A.;331632;Preferencial Classe B;817300
33.592.510/0001-54;2024-12-31;23;147435;VALE S.A.;332832;Preferencial Classe E;12
33.958.695/0001-78;2024-12-31;6;146559;UNIPAR CARBOCLORO S.A.;331165;Preferencial Classe A;2435822
33.958.695/0001-78;2024-12-31;6;146559;UNIPAR CARBOCLORO S.A.;331165;Preferencial Classe B;71677560
33.958.695/0001-78;2024-12-31;6;146559;UNIPAR CARBOCLORO S.A.;331166;Preferencial Classe A;2435822
33.958.695/0001-78;2024-12-31;6;146559;UNIPAR CARBOCLORO S.A.;331166;Preferencial Classe B;71677560
33.958.695/0001-78;2024-12-31;6;146559;UNIPAR CARBOCLORO S.A.;331167;Preferencial Classe A;2435822
33.958.695/0001-78;2024-12-31;6;146559;UNIPAR CARBOCLORO S.A.;331167;Preferencial Classe B;71677560
34.169.557/0001-72;2024-12-31;1;138626;BCO MERCANTIL DE INVESTIMENTOS S.A.;316821;Ordinária Classe A;4115057
34.169.557/0001-72;2024-12-31;1;138626;BCO MERCANTIL DE INVESTIMENTOS S.A.;316821;Preferencial Classe A;710143
34.169.557/0001-72;2024-12-31;1;138626;BCO MERCANTIL DE INVESTIMENTOS S.A.;316822;Preferencial Classe A;710143
34.169.557/0001-72;2024-12-31;1;138626;BCO MERCANTIL DE INVESTIMENTOS S.A.;316822;Ordinária Classe A;4115057
34.169.557/0001-72;2024-12-31;1;138626;BCO MERCANTIL DE INVESTIMENTOS S.A.;316823;Ordinária Classe A;4115057
34.169.557/0001-72;2024-12-31;1;138626;BCO MERCANTIL DE INVESTIMENTOS S.A.;316823;Preferencial Classe A;710143
38.307.135/0001-77;2024-12-31;4;146906;G2D INVESTMENTS, LTD.;332022;Ordinária Classe A;49031062
38.307.135/0001-77;2024-12-31;4;146906;G2D INVESTMENTS, LTD.;332022;Ordinária Classe B;66025326
38.307.135/0001-77;2024-12-31;4;146906;G2D INVESTMENTS, LTD.;332023;Ordinária Classe A;49031062
38.307.135/0001-77;2024-12-31;4;146906;G2D INVESTMENTS, LTD.;332023;Ordinária Classe B;66025326
38.307.135/0001-77;2024-12-31;4;146906;G2D INVESTMENTS, LTD.;332024;Ordinária Classe A;49031062
38.307.135/0001-77;2024-12-31;4;146906;G2D INVESTMENTS, LTD.;332024;Ordinária Classe B;66025326
38.307.135/0001-77;2024-12-31;4;146906;G2D INVESTMENTS, LTD.;332025;Ordinária Classe B;66025326
38.307.135/0001-77;2024-12-31;4;146906;G2D INVESTMENTS, LTD.;332025;Ordinária Classe A;188547486
38.482.780/0001-26;2024-12-31;4;142112;ANEMUS WIND HOLDING S.A.;323114;Preferencial Classe A;49155276
38.482.780/0001-26;2024-12-31;4;142112;ANEMUS WIND HOLDING S.A.;323114;Ordinária Classe A;49155276
41.886.692/0001-02;2024-12-31;4;143581;CONCESSIONARIA ROTA DE SANTA MARIA S.A;325288;Ordinária Classe A;500000000
41.886.692/0001-02;2024-12-31;4;143581;CONCESSIONARIA ROTA DE SANTA MARIA S.A;325289;Ordinária Classe A;300000000
41.886.692/0001-02;2024-12-31;4;143581;CONCESSIONARIA ROTA DE SANTA MARIA S.A;325290;Ordinária Classe A;300000000
42.150.391/0001-70;2024-12-31;11;147168;BRASKEM S.A.;332380;Preferencial Classe A;345060392
42.150.391/0001-70;2024-12-31;11;147168;BRASKEM S.A.;332380;Preferencial Classe B;478790
42.150.391/0001-70;2024-12-31;11;147168;BRASKEM S.A.;332381;Preferencial Classe A;345060392
42.150.391/0001-70;2024-12-31;11;147168;BRASKEM S.A.;332381;Preferencial Classe B;478790
42.150.391/0001-70;2024-12-31;11;147168;BRASKEM S.A.;332382;Preferencial Classe A;345060392
42.150.391/0001-70;2024-12-31;11;147168;BRASKEM S.A.;332382;Preferencial Classe B;478790
42.150.391/0001-70;2024-12-31;11;147168;BRASKEM S.A.;332383;Preferencial Classe A;616682421
42.150.391/0001-70;2024-12-31;11;147168;BRASKEM S.A.;332383;Preferencial Classe B;593818
42.310.775/0001-03;2024-12-31;10;147273;ÁGUAS DO RIO 1 SPE S.A.;332879;Ordinária Classe A;688011298
42.310.775/0001-03;2024-12-31;10;147273;ÁGUAS DO RIO 1 SPE S.A.;332880;Ordinária Classe A;688011298
42.310.775/0001-03;2024-12-31;10;147273;ÁGUAS DO RIO 1 SPE S.A.;332881;Ordinária Classe A;688011298
44.854.238/0001-50;2024-12-31;4;147283;PARSAN S.A.;332897;Preferencial Classe D;50000000
44.854.238/0001-50;2024-12-31;4;147283;PARSAN S.A.;332897;Preferencial Classe C;16666667
56.643.018/0001-66;2024-12-31;10;147453;EUCATEX S.A. INDUSTRIA E COMERCIO;332867;Preferencial Classe A;61361556
56.643.018/0001-66;2024-12-31;10;147453;EUCATEX S.A. INDUSTRIA E COMERCIO;332868;Preferencial Classe A;61361556
56.643.018/0001-66;2024-12-31;10;147453;EUCATEX S.A. INDUSTRIA E COMERCIO;332869;Preferencial Classe A;61361556
60.651.809/0001-05;2024-12-31;3;148014;SUZANO HOLDING S.A.;333291;Preferencial Classe A;274291308
60.651.809/0001-05;2024-12-31;3;148014;SUZANO HOLDING S.A.;333291;Preferencial Classe B;117281320
60.730.348/0001-66;2024-12-31;7;147377;CIA MELHORAMENTOS DE SAO PAULO;332761;Preferencial Classe A;773504
60.851.615/0001-53;2024-12-31;5;148073;BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL;333390;Preferencial Classe A;992808
60.894.730/0001-05;2024-12-31;17;146837;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;331851;Preferencial Classe A;547752163
60.894.730/0001-05;2024-12-31;17;146837;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;331851;Preferencial Classe B;66261
61.082.004/0001-50;2024-12-31;3;146667;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;331424;Preferencial Classe A;5389000
61.082.004/0001-50;2024-12-31;3;146667;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;331424;Ordinária Classe A;2694500
61.082.004/0001-50;2024-12-31;3;146667;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;331425;Preferencial Classe A;5389000
61.082.004/0001-50;2024-12-31;3;146667;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;331425;Ordinária Classe A;2694500
61.082.004/0001-50;2024-12-31;3;146667;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;331426;Preferencial Classe A;5389000
