CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
01.637.895/0001-32;2024-12-31;5;143845;VOTORANTIM CIMENTOS S.A.;326053;Capital Subscrito;2021-10-04;7708353218.99;;9225042782;300571428;9525614210
01.637.895/0001-32;2024-12-31;5;143845;VOTORANTIM CIMENTOS S.A.;326054;Capital Integralizado;2021-10-04;7708353218.99;;9225042782;300571428;9525614210
01.637.895/0001-32;2024-12-31;5;143845;VOTORANTIM CIMENTOS S.A.;326055;Capital Autorizado;2013-04-30;12000000000.00;;0;0;0
01.838.723/0001-27;2024-12-31;8;148266;BRF S.A.;333873;Capital Emitido;2024-03-28;13653417953.36;;1682473246;0;1682473246
01.838.723/0001-27;2024-12-31;8;148266;BRF S.A.;333874;Capital Subscrito;2024-03-28;13653417953.36;;1682473246;0;1682473246
01.838.723/0001-27;2024-12-31;8;148266;BRF S.A.;333875;Capital Integralizado;2024-03-28;13653417953.36;;1682473246;0;1682473246
01.838.723/0001-27;2024-12-31;8;148266;BRF S.A.;333876;Capital Autorizado;2023-07-03;0.00;;1825000000;0;1825000000
01.851.771/0001-55;2024-12-31;2;146912;524 PARTICIPACOES S.A.;332036;Capital Emitido;2023-04-28;1135904.66;12 meses;4234183008;0;4234183008
01.851.771/0001-55;2024-12-31;2;146912;524 PARTICIPACOES S.A.;332037;Capital Subscrito;2025-04-30;100000.00;12 meses;20000000000;0;20000000000
01.851.771/0001-55;2024-12-31;2;146912;524 PARTICIPACOES S.A.;332038;Capital Integralizado;2025-04-30;1335904.66;12 meses;30116536859;0;30116536859
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;326073;Capital Emitido;2023-05-04;229231849.61;;41800000;0;41800000
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;326074;Capital Subscrito;2023-05-04;229231849.61;;41800000;0;41800000
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;326075;Capital Integralizado;2023-05-04;229231849.61;;41800000;0;41800000
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;326076;Capital Autorizado;2023-05-04;1000000000.00;;0;0;0
01.917.818/0001-36;2024-12-31;7;147381;LIGHT ENERGIA S.A.;332766;Capital Subscrito;2025-04-30;224479251.63;;77642271;0;77642271
01.917.818/0001-36;2024-12-31;7;147381;LIGHT ENERGIA S.A.;332767;Capital Integralizado;2025-04-30;224479251.63;;77421581;0;77421581
01.938.783/0001-11;2024-12-31;7;147342;CIA PARTICIPACOES ALIANCA DA BAHIA;332696;Capital Emitido;2023-12-15;612157210.45;;9495733;9412283;18908016
01.938.783/0001-11;2024-12-31;7;147342;CIA PARTICIPACOES ALIANCA DA BAHIA;332697;Capital Subscrito;2023-12-15;612157210.45;;9495733;9412283;18908016
01.938.783/0001-11;2024-12-31;7;147342;CIA PARTICIPACOES ALIANCA DA BAHIA;332698;Capital Integralizado;2023-12-15;612157210.45;;9495733;9412283;18908016
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316687;Capital Emitido;2014-12-26;28385040.47;;83596902573;0;83596902573
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316688;Capital Subscrito;2014-12-26;28385040.47;;83596902573;0;83596902573
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316689;Capital Integralizado;2014-12-26;28385040.47;;83596902573;0;83596902573
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316690;Capital Emitido;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316691;Capital Emitido;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316692;Capital Subscrito;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316693;Capital Subscrito;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316694;Capital Integralizado;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316695;Capital Integralizado;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316696;Capital Autorizado;1997-12-31;3500000000.00;;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316697;Capital Autorizado;1997-12-31;3500000000.00;;0;0;0
01.968.293/0001-68;2024-12-31;1;138438;ELETRORIVER S.A.;316394;Capital Emitido;2021-11-30;66071387.00;30/11/2021;30829941;30829941;61659882
01.968.293/0001-68;2024-12-31;1;138438;ELETRORIVER S.A.;316395;Capital Subscrito;2021-11-30;66071387.00;30/11/2021;30829941;30829941;61659882
01.968.293/0001-68;2024-12-31;1;138438;ELETRORIVER S.A.;316396;Capital Integralizado;2021-11-30;66071387.00;30/11/2021;30829941;30829941;61659882
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;316764;Capital Integralizado;1997-06-16;50000.00;;1000;0;1000
02.016.440/0001-62;2024-12-31;5;148097;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;333452;Capital Emitido;2025-04-22;2874961832.10;Não aplicável;1125427;0;1125427
02.016.440/0001-62;2024-12-31;5;148097;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;333453;Capital Subscrito;2025-04-22;2874961832.10;Não aplicável;1125427;0;1125427
02.016.440/0001-62;2024-12-31;5;148097;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;333454;Capital Integralizado;2025-04-22;2874961832.10;Não aplicável;1125427;0;1125427
