CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Constituicao_Emissor;Forma_Constituicao_Emissor;Sigla_Pais_Constituicao_Emissor;Pais_Constituicao_Emissor;Prazo_Duracao_Emissor;Data_Registro_Emissor;Requisicao_Registro_Emissor
84.683.408/0001-03;2020-01-01;4;103468;DOHLER S.A.;1966-08-08;S.A. de capital aberto;BR;Brasil;;1973-12-26;N
84.683.671/0001-94;2020-01-01;6;103573;WETZEL S.A.;;;;;;;N
84.693.183/0001-68;2020-01-01;6;102937;SCHULZ S.A.;1963-07-04;Inicialmente constituída como Firma Individual, passando para Metalúrgica Schulz S.A. em 1973.;BR;Brasil;;1994-12-19;N
85.041.333/0001-11;2020-01-01;1;94099;PORTO PONTA DO FELIX S/A;1996-02-27;Estatuto Social;BR;Brasil;;1997-01-01;N
85.778.074/0001-06;2020-01-01;4;104229;METALURGICA RIOSULENSE S.A.;1946-01-02;Constituída como uma empresa LTDA e a partir do ano de 1988, tonou-se uma sociedade anônima de capital aberto.;BR;Brasil;;1988-11-29;N
86.375.425/0001-09;2020-01-01;3;103392;METISA METALURGICA TIMBOENSE S.A.;1942-01-08;Sociedade Anônima de Capital Aberto;BR;Brasil;;1971-05-18;N
86.550.951/0001-50;2020-01-01;3;103749;POMIFRUTAS S/A EM RECUPERACAO JUDICIAL;1962-11-01;Sociedade anônima com registro de Companhia Aberta;BR;Brasil;;2004-12-28;N
87.043.832/0001-73;2020-01-01;3;104000;SEIVA S.A. - FLORESTAS E INDÚSTRIAS;1971-12-29;A Seiva S.A. - Florestas e Indústrias é uma sociedade anônima de capital aberto.;BR;Brasil;;1981-12-11;N
87.456.562/0001-22;2020-01-01;2;103995;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;1973-11-13;Sociedade Anônima de Capital Aberto;BR;Brasil;;1988-03-04;N
87.762.563/0001-03;2020-01-01;5;103576;CIA HABITASUL DE PARTICIPACOES;1981-09-28;Habitasul Administração e Participações sob a forma de Sociedade Limitada, registrada na Junta Comercial do Rio Grande do Sul, sob nº 43200414335 em 08/10/1981, alterando sua denominação e tipo juridico para Companhia Habitasul de Participações, registrada na Junta Comercial do Rio Grande do Sul, sob nº 43300010007 em 10/12/1981.;BR;Brasil;;1982-04-19;N
88.610.126/0001-29;2020-01-01;8;103859;FRASLE MOBILITY S.A.;1954-02-22;Constituída sob forma de sociedade por ações.;BR;Brasil;;1977-07-20;N
88.610.191/0001-54;2020-01-01;2;103570;MUNDIAL S.A. - PRODUTOS DE CONSUMO;1896-04-02;Sociedade Anônima;BR;Brasil;;1979-12-12;N
88.611.835/0001-29;2020-01-01;6;102636;MARCOPOLO S.A.;1949-08-06;Sociedade Limitada.;BR;Brasil;;1977-07-20;N
88.613.658/0001-10;2020-06-30;3;98633;PETTENATI S.A. INDUSTRIA TEXTIL;1964-06-11;Sociedade Anônima de Capital Aberto.;BR;Brasil;;1981-02-04;N
89.086.144/0001-16;2020-01-01;9;103303;RANDONCORP S.A.;1992-09-16;Sociedade Anônima de Capital aberto;BR;Brasil;;1993-02-05;N
89.096.457/0001-55;2020-01-01;7;104650;SLC AGRICOLA S.A.;1977-06-03;Constituída como uma empresa do tipo limitada;BR;Brasil;;2007-06-12;N
89.463.822/0001-12;2020-01-01;12;104916;LUPATECH S.A;1980-08-08;Sociedade por Ações;BR;Brasil;;2006-05-08;N
89.637.490/0001-45;2020-01-01;19;103545;KLABIN S.A.;1978-11-08;Constituída sob a forma de sociedade por ações.;BR;Brasil;;1997-08-06;N
89.723.993/0001-33;2020-01-01;1;96609;CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL;;;;;;;N
89.850.341/0001-60;2020-01-01;11;103471;GRENDENE S.A.;1971-02-25;Constituída sob a forma de sociedade empresária limitada e transformada em sociedade por ações em 26/11/1979.;BR;Brasil;;2004-10-26;N
90.076.886/0001-40;2020-01-01;2;97661;MINUPAR PARTICIPACOES S.A.;1990-07-14;Transformação da Sociedade Mercantil por cotas de responsabilidade limitada, Minuano - Exportação e Administração Ltda., na sociedade por ações Minupar Participações S.A.;BR;Brasil;;1990-12-21;N
90.400.888/0001-42;2020-01-01;10;103768;BCO SANTANDER (BRASIL) S.A.;1985-08-09;Sociedade por ações.;BR;Brasil;;2007-03-02;N
90.441.460/0001-48;2020-01-01;3;103118;UNICASA INDÚSTRIA DE MÓVEIS S.A.;1985-09-02;A Companhia foi constituída sob a forma de Sociedade Limitada e posteriormente transformada em Sociedade Anônima em 1º de setembro de 2004.;BR;Brasil;;2012-04-25;N
91.333.666/0001-17;2020-01-01;3;103406;RECRUSUL S.A.;1954-05-31;Ações;BR;Brasil;;1985-12-20;N
91.495.499/0001-00;2020-01-01;4;103082;STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS;1960-12-09;A Companhia foi constituída no ano de 1960 sob a forma de empresa limitada, vindo posteriormente a ter sua forma jurídica transformada em sociedade anônima de capital fechado em 1982.;BR;Brasil;;2017-09-18;N
