CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
34.169.557/0001-72;2020-01-01;16;104697;BCO MERCANTIL DE INVESTIMENTOS S.A.;1930;353;1;83586;2.030000;324899;45.750000;408485;8.470000;2020-01-31
34.274.233/0001-02;2020-01-01;7;103075;VIBRA ENERGIA S/A;54944;350;1543;1164958126;99.996405;0;0.000000;1164958126;99.996405;2020-07-28
34.469.625/0001-19;2020-01-01;2;98100;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-PROVI;2;0;0;0;0.000000;0;0.000000;0;100.000000;2020-07-22
34.591.574/0001-01;2020-01-01;1;107766;UP ENGENHARIA E URBANISMO S.A.;2;0;0;0;0.000000;0;0.000000;0;0.000000;2019-07-01
35.082.277/0001-95;2020-01-01;2;93398;BASE SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A;2;0;0;0;0.000000;0;0.000000;0;0.000000;2019-08-26
35.502.310/0001-99;2020-01-01;3;104728;CS BRASIL PARTICIPAÇÕES E LOCAÇÕES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-11-24
35.727.157/0001-06;2020-01-01;2;99209;EZ INC INCORPORAÇÕES S.A.;4;1;0;4167897;2.083950;0;0.000000;4167897;2.083950;2020-08-14
35.791.391/0001-94;2020-01-01;3;102186;QUALITY SOFTWARE S.A.;6;1;1;0;0.000000;0;0.000000;0;0.000000;2020-04-30
36.243.187/0001-00;2020-01-01;2;96397;TRUE COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS II;0;2;0;0;0.000000;0;0.000000;0;0.000000;2019-12-13
36.542.025/0001-64;2020-01-01;5;102856;BRQ SOLUCOES EM INFORMATICA S.A.;15;2;0;0;0.000000;0;0.000000;0;0.000000;2020-04-20
37.368.315/0001-04;2020-09-16;2;100281;COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS - VERT 5;0;2;0;0;0.000000;0;0.000000;0;0.000000;2020-05-15
37.592.100/0001-64;2020-01-01;2;97467;MISSISSIPI SECURITIZADORA S/A;2;0;0;0;0.000000;0;0.000000;0;0.000000;2020-04-13
37.663.076/0001-07;2020-10-01;3;102814;AUREN PARTICIPAÇÕES S.A.;0;1;0;149647285;37.500000;0;0.000000;149647285;37.500000;2021-03-10
38.042.694/0001-00;2020-09-16;2;98055;TRAVESSIA SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2020-07-03
39.115.514/0001-28;2020-01-01;2;103846;RUMO MALHA OESTE S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-30
39.393.829/0001-37;2020-01-01;1;97653;HLASA PARTICIPAÇÕES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-10-08
39.393.829/0001-37;2020-10-09;8;103206;HLASA PARTICIPAÇÕES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-10-30
40.997.635/0001-20;2020-01-22;1;103051;PORTO DE VITORIA COMPANHIA SECURITIZADORA DE CREDITOS FINANC;1;1;0;0;0.000000;0;0.000000;0;0.000000;2021-04-19
42.150.391/0001-70;2020-01-01;11;103022;BRASKEM S.A.;59835;3373;368;12907077;2.857000;265140805;76.730000;278047882;34.877000;2020-05-29
42.278.291/0001-24;2020-01-01;14;104792;LOG-IN LOGISTICA INTERMODAL S.A.;19558;421;151;100109944;94.900665;0;0.000000;100109944;94.900665;2020-09-04
42.278.473/0001-03;2020-01-01;10;104361;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;57158;953;155;77719799;48.603039;0;0.000000;77719799;48.603039;2019-04-24
42.331.462/0001-31;2020-01-01;3;103559;EMBPAR PARTICIPAÇÕES S/A;701;14;0;1808268;12.168229;0;0.000000;1808268;12.168229;2020-04-30
42.771.949/0001-35;2020-01-01;17;104756;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;5512;52;141;46716473;39.490000;0;0.000000;46716473;39.490000;2020-04-23
43.185.362/0001-07;2020-01-01;6;102733;IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL;1834;19;0;6048758;48.000000;0;0.000000;6048758;48.000000;2020-07-31
43.283.811/0001-50;2020-01-01;2;100870;KALUNGA S.A;2;0;0;0;0.000000;0;0.000000;0;0.000000;2021-01-29
43.470.988/0001-65;2020-01-01;4;104753;EVEN CONSTRUTORA E INCORPORADORA S.A.;13410;53;430;209535948;95.381734;0;0.000000;209535948;95.381734;2019-12-31
43.776.517/0001-80;2020-01-01;11;104540;CIA SANEAMENTO BASICO EST SAO PAULO;24181;1563;1465;339999111;49.743560;0;0.000000;339999111;49.743560;2020-04-28
45.242.914/0001-05;2020-01-01;16;104576;C&A MODAS S.A.;25240;107;262;106394635;34.516249;0;0.000000;106394635;34.516249;2020-06-26
45.365.558/0001-09;2020-01-01;1;98746;VITTIA S.A.;3;3;0;0;0.000000;0;0.000000;0;0.000000;2020-11-16
45.453.214/0001-51;2020-01-01;8;103935;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;15609;61;96;87499778;70.671042;0;0.000000;87499778;70.671042;2020-04-22
45.987.245/0001-92;2020-01-01;8;103423;BIOMA EDUCAÇÃO S.A.;1154;52;21;1379591;61.521347;0;0.000000;1379591;61.521347;2020-09-29
46.119.855/0001-37;2020-01-01;8;100774;SOCIEDADE ABASTECIMENTO DE ÁGUA E SANEAMENTO S.A - SANASA;9;4;0;0;0.000000;0;0.000000;0;0.000000;2019-04-26
47.193.149/0001-06;2020-01-01;2;96430;SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;131;7;2;0;0.000000;0;0.000000;0;0.000000;2020-02-07
