CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
07.206.816/0001-15;2022-01-01;2;119883;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Debêntures;0;0;1
07.206.816/0001-15;2022-01-01;2;119883;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Nota Comercial;0;0;1
07.253.321/0001-47;2022-01-01;1;116818;CARBOMIL SA MINER. E INDUSTRIA;Debêntures;0;2;0
07.275.159/0001-68;2022-01-01;1;114741;PETROLEO LUB DO NORDESTE SA;Bônus de Subscrição;2171;179;2500
07.282.377/0001-20;2022-01-01;3;123105;ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S/A;Debêntures;230;12;3
07.401.436/0001-31;2022-01-01;1;116630;ELDORADO BRASIL CELULOSE S.A.;Debêntures;0;175;0
07.415.333/0001-20;2022-01-01;11;125942;SIMPAR S.A.;Debêntures;306;49;223
07.594.978/0001-78;2022-01-01;6;125835;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Debêntures;133;4;330
07.628.528/0001-59;2022-06-30;5;121281;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Certificado de Recebíveis do Agronegócio;106;0;2
07.636.657/0001-99;2022-01-01;6;123781;AÇO VERDE DO BRASIL S.A;Debêntures;0;1;0
07.816.890/0001-53;2022-01-01;6;126119;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Debêntures;3;5;228
07.823.262/0001-03;2022-01-01;2;123012;FOZ DO RIO CLARO ENERGIA S.A.;Debêntures;0;0;2
07.857.850/0001-50;2022-01-01;5;126035;GP INVESTMENTS, LTD.;Certificados de depósito de valores mobiliários;2134;29;59
07.859.510/0001-68;2022-01-01;3;126154;JHSF MALLS S.A.;Debêntures;0;0;1
07.859.971/0001-30;2022-01-01;13;126020;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Debêntures;16269;208;475
07.976.147/0001-60;2022-01-01;6;125163;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Debêntures;340;63;37
07.976.147/0001-60;2022-01-01;6;125163;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Nota Comercial;0;0;1
08.065.557/0001-12;2022-01-01;4;123707;TECNISA S.A.;Debêntures;8;0;8
08.070.508/0001-78;2022-03-31;9;116965;RAIZEN ENERGIA S.A.;Debêntures;4737;109;0
08.159.965/0001-33;2022-01-01;7;123754;IGUA SANEAMENTO S.A.;Debêntures;2422;80;110
08.170.849/0001-15;2022-01-01;10;126048;DESKTOP S.A.;Debêntures;0;0;2
08.213.823/0001-07;2022-01-01;4;125646;AURA ALMAS MINERAÇÃO S.A.;Debêntures;264;41;56
08.294.224/0001-65;2022-01-01;8;127215;JHSF PARTICIPACOES S.A.;Debêntures;0;0;20
08.312.229/0001-73;2022-01-01;4;126061;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Debêntures;0;1;1
08.322.396/0001-03;2022-03-31;5;117114;CERRADINHO BIOENERGIA S.A.;Debêntures;1128;7;0
08.343.492/0001-20;2022-01-01;15;127243;MRV ENGENHARIA E PARTICIPACOES S.A.;Debêntures;620;114;653
08.364.948/0001-38;2022-01-01;11;127024;ALUPAR INVESTIMENTO S/A;Debêntures;1;0;92
08.397.078/0001-01;2022-01-01;3;127289;GSH CORP PARTICIPAÇÕES S.A.;Debêntures;0;1;0
08.402.943/0001-52;2022-01-01;8;127054;GUARARAPES CONFECCOES S.A.;Debêntures;2;387;0
08.439.659/0001-50;2022-01-01;3;125891;CPFL ENERGIAS RENOVÁVEIS S.A.;Debêntures;0;7;14
08.467.115/0001-00;2022-01-01;7;127041;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Debêntures;4;198;0
08.764.621/0001-53;2022-01-01;2;125286;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;Debêntures;6;0;1
08.769.451/0001-08;2022-01-01;6;124959;VIRGO COMPANHIA DE SECURITIZAÇÃO;Certificado de Recebíveis do Agronegócio;1900;18;6
08.769.451/0001-08;2022-01-01;6;124959;VIRGO COMPANHIA DE SECURITIZAÇÃO;Certificados de Recebíveis Imobiliários;546;3;34
08.773.135/0001-00;2022-01-01;13;126979;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;Bônus de Subscrição;1;1;10
08.773.135/0001-00;2022-01-01;13;126979;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;1;0;9
08.797.760/0001-83;2022-01-01;12;125572;CURY CONSTRUTORA E INCORPORADORA S.A.;Debêntures;0;1;14
08.801.621/0001-86;2022-01-01;8;127229;SYN PROP & TECH S.A.;Debêntures;0;61;158
08.807.432/0001-10;2022-01-01;16;126927;YDUQS PARTICIPACOES S.A.;Debêntures;4;141;145
08.811.643/0001-27;2022-01-01;10;126121;TRISUL S.A.;Debêntures;0;9;9
08.822.767/0001-08;2022-01-01;2;124491;CONCESSIONÁRIA DA RODOVIA MG-050 S.A.;Debêntures;0;6;37
08.827.501/0001-58;2022-01-01;10;125618;AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.;Debêntures;48;49;664
08.873.873/0001-10;2022-01-01;7;125517;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;Debêntures;264;76;483
