CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Data_Deliberacao;Orgao_Deliberacao_Aumento;Data_Emissao;Valor_Total_Emissao;Tipo_Subscricao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes;Subscricao_Capital_Anterior;Fator_Cotacao;Preco_Emissao;Criterio_Determinacao_Preco_Emissao;Forma_Integralizacao
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358391;2020-09-03;Conselho de Administração;2020-09-03;1166248787.00;Subscrição pública;16838900;39150000;55988900;54.72150000;R$ por Unidade;20.83000000;A integralização foi em dinheiro (moeda corrente nacional), oriundo da Oferta Pública Primária de Ações do Banco Inter S.A.;Pricing da Oferta Pública de Ações de Emissão do Banco Inter S.A.
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358392;2021-06-24;Conselho de Administração;2021-06-24;5499999970.24;Subscrição pública;143017604;142252104;285269708;166.79350000;R$ por Unidade;19.28000000;Pricing da Oferta Pública de Ações de Emissão do Banco Inter S.A;A integralização foi em dinheiro (moeda corrente nacional), oriundo da Oferta Pública Primária de Ações do Banco Inter S.A.
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358393;2022-04-04;Conselho de Administração;2022-05-09;3873885.00;Subscrição particular;2415482;4830964;7246446;0.04400000;R$ por Unidade;0.53000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 30.09.2016 e 05.02.2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.416.968/0001-01;2022-01-01;11;122285;BANCO INTER S.A.;358394;2022-05-17;Conselho de Administração;2022-05-17;1853137.00;Subscrição pública;1519540;6228380;7747920;0.02100000;R$ por Unidade;0.24000000;O critério utilizado para determinação do preço de emissão foi fixado com base nos Planos de Opções de Ações, aprovados em Assembleias Gerais nas datas de 30/09/2016 e 05/02/2018.;A integralização foi em dinheiro (moeda corrente nacional).
00.545.378/0001-70;2022-01-01;6;135072;SERRA AZUL WATER PARK SA;374173;2017-01-01;Não aplicável;2013-01-01;0.01;Subscrição particular;29188116;0;29188116;0.00000000;R$ por Unidade;0.00000001;Não apliável;Não houve aumento do Capital Social
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363741;2008-07-08;AGE;2008-07-08;29850000.00;Subscrição particular;561095;0;561095;31.35000000;R$ por Unidade;53.20000000;Expectativa de rentabilidade futura.;Engevix Engenharia integralizou as ações em moeda corrente.
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363742;2008-10-17;AGE;2008-10-17;9921000.00;Subscrição particular;186499;0;186499;7.93000000;R$ por Unidade;53.20000000;Expectativa de rentabilidade futura.;R$500 mil mediante a utilização de adiantamento para futuro aumento de capital ocorrido em setembro de 2008 e o restante em moeda corrente nacional.
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363743;2008-12-11;AGE;2008-12-11;23000000.00;Subscrição particular;432331;0;432331;17.04000000;R$ por Unidade;53.20000000;Expectativa de rentabilidade futura.;R$12.500 mil mediante a utilização de adiantamento para futuro aumento de capital ocorrido em dezembro de 2008 e o restante em moeda corrente nacional.
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363744;2009-02-18;AGE;2009-02-18;20000000.00;Subscrição particular;375940;0;375940;12.66000000;R$ por Unidade;53.20000000;Expectativa de rentabilidade futura.;Jackson integralizou as ações em moeda corrente.
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363745;2010-07-23;AGE;2010-07-23;42301000.00;Subscrição particular;795135;0;795135;23.76000000;R$ por Unidade;53.20000000;Expectativa de rentabilidade futura.;integralizados pela Jackson da seguinte forma: (i) R$15.150 mil mediante a utilização de AFAC's (ii) R$2.619,62 mil, com a quitação de um mútuo existente entre nós e a Jackson (iii) R$231,55 mil, em moeda corrente nacional, integralizado da seguinte forma (a) R$230,382 mil em 23 de julho de 2010 e (b) 1,170 mil integralizado no dia 26 de julho de 2010 (iv) R$22.683,65 mil mediante a utilização de lucros acumulados (v) R$1.170,83 mil, com a utilização de reserva legal e (vi) R$445,52 mil por meio da utilização de reserva do ajuste da Lei nº 11.638.
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363746;2010-09-30;AGE;2010-09-30;23038.00;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363747;2010-09-30;AGE;2010-09-30;33161284.00;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363748;2010-09-30;AGE;2010-09-30;79755600.00;Subscrição particular;32000000;0;32000000;238.90000000;R$ por Unidade;2.49000000;Expectativa de rentabilidade futura.;Aporte feito pelo FIP Desenvix
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363749;2010-09-30;AGE;2010-09-30;433647000.00;Subscrição particular;539000000;0;539000000;383.28000000;R$ por Unidade;0.80450000;Não aplicável.;Incorporação da Cevix.
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363750;2012-03-08;AGE;2012-03-08;120000000.00;Subscrição particular;7439555;0;7439555;7.43955500;R$ por Unidade;16.12999702;Não aplicável.;Aporte feito pela SN Power.
00.622.416/0001-41;2022-01-01;10;123211;STATKRAFT ENERGIAS RENOVAVEIS S.A.;363751;2013-12-11;AGE;2013-12-11;60000000.00;Subscrição particular;9562167;0;9562167;8.90004337;R$ por Unidade;6.27472791;Preço fixado com base no valor do patrimônio líquido registrado nas Demonstrações Financeiras da Companhia de setembro de 2013, nos termos do artigo 170, §1º, II da Lei das S.A..;Conforme consta do Boletim de Subscrição, parte integrante da Ata da AGE como seu Anexo I, as ações emitidas neste ato são subscritas na proporção do capital detido por seus acionistas nesta data. A integralização ocorrerá também na proporção mencionada anteriormente, em duas parcelas de igual valor, nas datas 05.02.2014 e 05.12.2014.
