CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Especie_Acao;Tipo_Classe_Acao_Preferencial;Quantidade_Adquirida;Escala_Cotacao;Quantidade_Prevista;Valor_Preco_Medio;Percentual_Previsto;Percentual_Adquirido
84.429.695/0001-11;2022-01-01;5;123176;WEG S.A.;45495;Ordinária;;250000;R$ por Unidade;250000;47.02;0.000337;100.000000
84.683.374/0001-49;2022-01-01;9;125809;TUPY S.A.;46548;Ordinária;;0;R$ por Unidade;0;0.00;0.000000;0.000000
84.683.374/0001-49;2022-01-01;9;125809;TUPY S.A.;46549;Ordinária;;150406;R$ por Unidade;235000;21.06;0.348030;64.002553
84.683.374/0001-49;2022-01-01;9;125809;TUPY S.A.;46550;Ordinária;;41585;R$ por Unidade;233000;17.80;0.353048;17.847640
84.683.374/0001-49;2022-01-01;9;125809;TUPY S.A.;46550;Ordinária;;89900;R$ por Unidade;233000;20.12;0.352397;38.583691
84.693.183/0001-68;2022-01-01;3;124814;SCHULZ S.A.;46078;Preferencial;Preferencial Classe U;33000;R$ por Unidade;1100000;8.41;0.061560;3.000000
86.375.425/0001-09;2022-01-01;5;143698;METISA METALURGICA TIMBOENSE S.A.;46991;Preferencial;;46800;R$ por Unidade;150000;31.14;4.940000;31.200000
86.375.425/0001-09;2022-01-01;5;143698;METISA METALURGICA TIMBOENSE S.A.;46992;Preferencial;;149233;R$ por Unidade;150000;24.72;4.620000;99.480000
86.375.425/0001-09;2022-01-01;5;143698;METISA METALURGICA TIMBOENSE S.A.;46993;Preferencial;;26000;R$ por Unidade;150000;16.90;4.610000;17.333333
86.375.425/0001-09;2022-01-01;5;143698;METISA METALURGICA TIMBOENSE S.A.;46994;Preferencial;;240000;R$ por Unidade;240000;12.42;5.500000;100.000000
86.375.425/0001-09;2022-01-01;5;143698;METISA METALURGICA TIMBOENSE S.A.;46995;Preferencial;;240000;R$ por Unidade;240000;17.87;5.500000;100.000000
86.375.425/0001-09;2022-01-01;5;143698;METISA METALURGICA TIMBOENSE S.A.;46996;Preferencial;;240000;R$ por Unidade;240000;18.55;5.500000;100.000000
86.375.425/0001-09;2022-01-01;5;143698;METISA METALURGICA TIMBOENSE S.A.;46997;Preferencial;;28600;R$ por Unidade;250000;20.74;5.500000;11.440000
88.611.835/0001-29;2022-01-01;6;127188;MARCOPOLO S.A.;46897;Preferencial;;4960000;R$ por Unidade;10000000;3.54;1.730000;49.600000
89.086.144/0001-16;2022-01-01;9;127248;RANDONCORP S.A.;46930;Preferencial;;0;R$ por Unidade;5000000;0.00;2.847000;0.000000
89.086.144/0001-16;2022-01-01;9;127248;RANDONCORP S.A.;46931;Preferencial;;13000000;R$ por Unidade;13000000;10.27;7.410000;100.000000
89.096.457/0001-55;2022-01-01;15;126799;SLC AGRICOLA S.A.;46754;Ordinária;;0;R$ por Unidade;5000000;0.00;4.905887;0.000000
89.096.457/0001-55;2022-01-01;15;126799;SLC AGRICOLA S.A.;46755;Ordinária;;4000000;R$ por Unidade;4000000;43.52;4.315788;100.000000
89.096.457/0001-55;2022-01-01;15;126799;SLC AGRICOLA S.A.;46756;Ordinária;;2000000;R$ por Unidade;2000000;44.66;2.246277;100.000000
89.096.457/0001-55;2022-01-01;15;126799;SLC AGRICOLA S.A.;46757;Ordinária;;1000000;R$ por Unidade;1000000;42.68;2.296800;100.000000
89.096.457/0001-55;2022-01-01;15;126799;SLC AGRICOLA S.A.;46758;Ordinária;;2000000;R$ por Unidade;2000000;33.45;4.400000;100.000000
89.096.457/0001-55;2022-01-01;15;126799;SLC AGRICOLA S.A.;46759;Ordinária;;1100000;R$ por Unidade;1100000;25.06;2.380000;100.000000
89.096.457/0001-55;2022-01-01;15;126799;SLC AGRICOLA S.A.;46760;Ordinária;;2500000;R$ por Unidade;2500000;21.15;5.340000;100.000000
89.850.341/0001-60;2022-01-01;13;125802;GRENDENE S.A.;46545;Ordinária;;205522;R$ por Unidade;5000000;8.92;1.860000;4.110000
89.850.341/0001-60;2022-01-01;13;125802;GRENDENE S.A.;46546;Ordinária;;507490;R$ por Unidade;25000000;7.47;9.220000;2.029960
89.850.341/0001-60;2022-01-01;13;125802;GRENDENE S.A.;46547;Ordinária;;1467613;R$ por Unidade;6000000;11.05;2.220000;24.460217
