CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721195;2020-12-31;0.00000000;0.00000000;161145166.65
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721195;2019-12-31;28.01000000;49.09000000;269918969.60
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721196;2022-12-31;3.41000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721196;2021-12-31;0.00000000;0.00000000;1154097894.40
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721196;2020-12-31;0.00000000;0.00000000;1154734774.28
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721196;2019-12-31;0.00000000;0.00000000;711009933.50
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721197;2022-12-31;23.87000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721197;2021-12-31;0.00000000;0.00000000;161871017.21
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721197;2020-12-31;0.00000000;0.00000000;56395345.87
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721197;2019-12-31;0.00000000;0.00000000;89016285.59
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721198;2022-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721198;2021-12-31;0.00000000;0.00000000;5408619.02
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721198;2020-12-31;0.00000000;0.00000000;4902519.14
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721198;2019-12-31;0.00000000;0.00000000;4669696.17
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721199;2022-12-31;-1.30000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721199;2021-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721199;2020-12-31;0.00000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721199;2019-12-31;0.00000000;0.00000000;0.00
