CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Passivo;Indice_Endividamento;Tipo_Indice;Descricao_Outro_Indice
02.846.056/0001-97;2022-01-01;17;125620;2021-01-01;2021-12-31;32790644000.00;3.02646512;Índice de Endividamento;
02.846.056/0001-97;2022-01-01;17;125620;2022-01-01;2022-12-31;35455741000.00;3.82808891;Índice de Endividamento;
02.860.694/0001-62;2022-01-01;1;116579;2021-01-01;2021-12-31;406208516.09;3.16735986;Índice de Endividamento;
02.916.265/0001-60;2022-01-01;13;127102;2021-01-01;2021-12-31;159312396000.00;3.33000000;Índice de Endividamento;
02.919.555/0001-67;2022-01-01;6;126933;2021-01-01;2021-12-31;10021485000.00;1.54586903;Índice de Endividamento;
02.932.074/0001-91;2022-01-01;6;126247;2021-01-01;2021-12-31;0.00;0.75318268;Outros índices;O índice corresponde à divisão do endividamento financeiro no valor de R$ 7.406,4 milhões (composto por empréstimos, financiamentos e títulos a pagar), constantes nos passivos circulante e não circulante, conforme reportados nas Demonstrações Financeiras Consolidadas da Companhia relativas ao exercício social de 2021, posteriormente divididos pelo Patrimônio Líquido reportado ao final do exercício.Tais passivos correspondem aos passivos corrigidos por taxas de juros e refletem melhor o endividamento bruto da Companhia do que o total dos passivos circulante e não circulante, que inclui, por exemplo, valores recebidos correspondentes a adiantamentos por desinvestimentos de ativos.
02.950.811/0001-89;2022-01-01;27;127214;2021-01-01;2021-12-31;2184812000.00;0.26570000;Índice de Endividamento;
02.992.449/0001-09;2022-01-01;2;125653;2021-01-01;2021-12-31;201.00;0.16900000;Índice de Endividamento;
02.998.301/0001-81;2022-01-01;7;127247;2021-01-01;2021-12-31;2057291000.00;1.07843467;Índice de Endividamento;
02.998.611/0001-04;2022-01-01;8;126090;2021-01-01;2021-12-31;14184004000.00;0.95884933;Índice de Endividamento;
03.014.553/0001-91;2022-01-01;5;127007;2021-01-01;2021-12-31;2245918000.00;2.46077841;Índice de Endividamento;
03.025.305/0001-46;2022-01-01;2;124493;2021-01-01;2021-12-31;1852129.00;3.31000000;Índice de Endividamento;
03.207.703/0001-83;2022-01-01;2;125274;2021-01-01;2021-12-31;1670450.00;4.80858401;Índice de Endividamento;
03.220.438/0001-73;2022-01-01;7;127055;2021-01-01;2021-12-31;46468980000.00;3.04808172;Índice de Endividamento;
03.279.285/0001-30;2022-01-01;5;126074;2021-01-01;2021-12-31;751537000.00;0.99040000;Índice de Endividamento;
03.303.999/0001-36;2022-01-01;3;122813;2021-01-01;2021-12-31;13351439.25;0.98000000;Índice de Endividamento;
03.342.704/0001-30;2022-01-01;16;124104;2021-01-01;2021-12-31;0.00;2.11578965;Outros índices;Este outro índice corresponde ao endividamento representado pela dívida líquida da Companhia sobre o EBITDA. A Companhia utiliza esse índice para aferir quanto tempo sua geração operacional de caixa levaria para realizar o pagamento de sua dívida líquida. Apesar de ser uma medida não contábil, este índice é utilizado para acompanhar os covenants de nossos empréstimos e financiamentos.
03.342.704/0001-30;2022-01-01;16;124104;2021-01-01;2021-12-31;2843580000.00;1.51915816;Índice de Endividamento;
03.342.704/0001-30;2022-01-01;16;124104;2022-01-01;2022-12-31;2962430000.00;1.42057219;Índice de Endividamento;
03.342.704/0001-30;2022-01-01;16;124104;2022-01-01;2022-12-31;0.00;1.11614194;Outros índices;Este outro índice corresponde ao endividamento representado pela dívida líquida da Companhia sobre o EBITDA. A Companhia utiliza esse índice para aferir quanto tempo sua geração operacional de caixa levaria para realizar o pagamento de sua dívida líquida. Apesar de ser uma medida não contábil, este índice é utilizado para acompanhar os covenants de nossos empréstimos e financiamentos.
03.378.521/0001-75;2022-01-01;22;127408;2021-01-01;2021-12-31;0.00;3.48000000;Outros índices;A Companhia entende que o índice Dívida Líquida e EBITDA Ajustado para Covenants contratuais melhor reflete seu nível de endividamento, pois é o indicador financeiro utilizado pela Companhia para cálculo de covenants financeiros no âmbito de determinadas dívidas da Companhia.- A Dívida Líquida equivale ao total da Dívida Bruta deduzida de caixa e equivalentes de caixa e de títulos e valores mobiliários.- A Dívida Bruta equivale ao total da soma do circulante e não circulante dos empréstimos, financiamentos, debêntures, juros devidos, benefícios pós-emprego (referente a dívida com Fundos de Pensão) e rendas a receber e a pagar de operações de swap.- EBITDA Ajustado para Covenants contratuais é calculado por meio do "EBITDA" dos 12 meses, ajustado pelo resultado de equivalência patrimonial e pelas outras receitas e despesas operacionais (antigo resultado não-operacional), adicionado de provisões de contingência, provisões para créditos de liquidação duvidosa (PECLD), o valor justo do ativo financeiro da concessão e recuperação de Créditos de PIS e COFINS sobre ICMS considerando que tais itens não têm efeito no caixa.
03.378.521/0001-75;2022-01-01;22;127408;2021-01-01;2021-12-31;19544771.00;2.23801042;Índice de Endividamento;
03.467.321/0001-99;2022-01-01;11;127078;2021-01-01;2021-12-31;8412497000.00;2.92370119;Índice de Endividamento;
03.494.776/0001-01;2022-01-01;4;126180;2021-01-01;2021-12-31;198932000.00;3.31741320;Índice de Endividamento;
03.538.833/0001-07;2022-01-01;2;125799;2021-01-01;2021-12-31;848534.03;3.13000000;Índice de Endividamento;
03.758.318/0001-24;2022-01-01;10;127092;2021-01-01;2021-12-31;20642913000.00;1.15800000;Índice de Endividamento;
03.767.538/0001-14;2022-01-01;4;125866;2021-01-01;2021-12-31;8409702.06;0.03708700;Índice de Endividamento;
03.795.050/0001-09;2022-01-01;5;124014;2021-01-01;2021-12-31;1110339.00;1.01768863;Índice de Endividamento;
03.802.115/0001-98;2022-01-01;12;127091;2021-01-01;2021-12-31;210705000.00;0.21300000;Índice de Endividamento;
03.818.379/0001-30;2022-01-01;4;120842;2021-01-01;2021-12-31;1976468.00;0.51000000;Índice de Endividamento;
03.820.456/0001-96;2022-01-01;4;122982;2021-01-01;2021-12-31;378118955.20;14.19143200;Índice de Endividamento;
03.847.461/0001-92;2022-01-01;6;125994;2021-01-01;2021-12-31;51012470.74;0.00675300;Índice de Endividamento;
03.853.896/0001-40;2022-01-01;10;125073;2021-01-01;2021-12-31;42431535000.00;10.24000000;Índice de Endividamento;
03.953.509/0001-47;2022-01-01;6;125890;2021-01-01;2021-12-31;7635148000.00;1.05368719;Índice de Endividamento;
03.983.431/0001-03;2022-01-01;8;125441;2021-01-01;2021-12-31;21334727000.00;1.91318872;Índice de Endividamento;
04.030.182/0001-02;2022-01-01;4;125905;2021-01-01;2021-12-31;34000.00;0.58620690;Índice de Endividamento;
04.031.213/0001-31;2022-01-01;4;125906;2021-01-01;2021-12-31;34000.00;0.69387755;Índice de Endividamento;
04.032.433/0001-80;2022-01-01;13;126515;2021-01-01;2021-12-31;1610509000.00;10.42043200;Índice de Endividamento;
04.038.763/0001-82;2022-01-01;4;125908;2021-01-01;2021-12-31;34000.00;0.35051500;Índice de Endividamento;
04.065.791/0001-99;2022-01-01;9;126512;2021-01-01;2021-12-31;0.00;0.59761611;Outros índices;Conforme destacado no item 3.2, a Companhia emitiu Debêntures em 2019 e em 2021 que ocasionaram covenants ("cláusulas restritivas") para os seguintes índices financeiros: (i) limite para a Dívida Bruta Bancária acumulada de, no máximo, R$ 290.000 mil ao final do mês de dezembro do ano de 2021 e (ii) Dívida Líquida / EBITDA igual ou inferior a: 3,0x, em 2022 e 2,75x, de 2023 em diante. Por esse motivo a Companhia passou a acompanhar o indicador de Dívida Líquida/EBITDA, cujo objetivo é mensurar quanto tempo a Companhia precisa para quitar suas debêntures com sua geração de caixa operacional.
04.065.791/0001-99;2022-03-31;1;113796;2020-01-01;2020-12-31;202125000.00;0.46409186;Índice de Endividamento;
04.069.709/0001-02;2022-01-01;3;127077;2021-01-01;2021-12-31;99697000.00;0.41000000;Índice de Endividamento;
04.089.570/0001-50;2022-01-01;2;123652;2021-01-01;2021-12-31;1338493.00;2.59602632;Índice de Endividamento;
04.089.570/0001-50;2022-01-01;2;123652;2021-01-01;2021-12-31;9696991.00;1.51426852;Índice de Endividamento;
04.149.454/0001-80;2022-01-01;11;126912;2021-01-01;2021-12-31;14063856673.41;85.78716276;Índice de Endividamento;
04.172.213/0001-51;2022-01-01;4;125874;2021-01-01;2021-12-31;6691623000.00;17.27055127;Índice de Endividamento;
04.200.649/0001-07;2022-01-01;32;122894;2021-01-01;2021-12-31;358686.85;0.00000001;Índice de Endividamento;
04.233.319/0001-18;2022-01-01;5;124097;2021-01-01;2021-12-31;3811519315.31;0.23393665;Índice de Endividamento;
04.368.898/0001-06;2022-01-01;3;125893;2021-01-01;2021-12-31;13246145051.33;1.75247031;Índice de Endividamento;
04.370.282/0001-70;2022-01-01;5;125901;2021-01-01;2021-12-31;11841499.00;0.91982910;Índice de Endividamento;
04.423.567/0001-21;2022-01-01;17;127252;2021-01-01;2021-12-31;9247932000.00;0.86825846;Índice de Endividamento;
04.437.534/0001-30;2022-01-01;10;123339;2021-01-01;2021-12-31;5594919.00;0.71399381;Índice de Endividamento;
04.437.534/0001-30;2022-01-01;10;123339;2021-01-01;2021-12-31;0.00;2.18000000;Outros índices;Dívida bruta (Empréstimos - líquido de instrumentos financeiros swap + Debêntures) deduzido de caixa e equivalentes + aplicações financeiras / EBITDAÍndice com utilização disseminada no mercado e que reflete, de forma adequada, o nível de alavancagem financeira da Companhia.
04.739.720/0001-24;2022-01-01;1;116120;2021-01-01;2021-12-31;2225910000.00;1.95901222;Índice de Endividamento;
04.752.991/0001-10;2022-01-01;9;126082;2021-01-01;2021-12-31;258245000.00;2.31431362;Índice de Endividamento;
04.821.041/0001-08;2022-01-01;3;122589;2021-01-01;2021-12-31;2092303.00;17.19000000;Índice de Endividamento;
04.895.728/0001-80;2022-01-01;6;127135;2021-01-01;2021-12-31;8770829000.00;2.61043181;Índice de Endividamento;
04.902.979/0001-44;2022-01-01;11;127107;2021-01-01;2021-12-31;23007532378.73;7.81252930;Índice de Endividamento;
04.912.242/0001-02;2022-01-01;1;115915;2021-01-01;2021-12-31;1948000.00;91.20000000;Índice de Endividamento;
04.913.711/0001-08;2022-01-01;17;127158;2021-01-01;2021-12-31;9101977524.24;61.31017877;Índice de Endividamento;
04.972.092/0001-22;2022-01-01;1;116589;2021-01-01;2021-12-31;1276939000.00;5.59000000;Índice de Endividamento;
04.972.092/0001-22;2022-01-01;1;116589;2021-01-01;2021-12-31;0.00;1.79000000;Outros índices;Este índice de endividamento representa a Dívida Líquida da Companhia sobre o EBITDA Ajustado dos últimos 12 meses.  Para maiores informações, vide item 3.2 deste Formulário de Referência. A Companhia utiliza esse índice para aferir quanto tempo sua geração operacional de caixa levaria para realizar o pagamento de sua Dívida Líquida. Apesar de ser uma medida não contábil, este índice é comumente utilizado pelo mercado financeiro e de capitais, permitindo a comparação com negócios semelhantes ao da Companhia.
04.986.320/0001-13;2022-01-01;11;127079;2021-01-01;2021-12-31;1629512000.00;0.52690868;Índice de Endividamento;
04.992.714/0001-84;2022-01-01;8;127113;2021-01-01;2021-12-31;8994649000.00;3.63000000;Índice de Endividamento;
05.197.443/0001-38;2022-01-01;15;124430;2021-01-01;2021-12-31;10461395000.00;0.99000000;Índice de Endividamento;
05.303.439/0001-07;2022-01-01;4;125950;2021-01-01;2021-12-31;5433726355.50;8.23916051;Índice de Endividamento;
05.336.882/0001-84;2022-01-01;3;125031;2021-01-01;2021-12-31;253870500.87;0.71000000;Índice de Endividamento;
05.347.060/0001-07;2022-01-01;2;121626;2021-01-01;2021-12-31;87902.00;0.60264860;Índice de Endividamento;
