CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
09.414.761/0001-64;2022-01-01;1;115643;K-INFRA RODOVIA DO AÇO S.A.;Diario Oficial do Estado;RJ
09.527.023/0001-23;2022-01-01;1;116363;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;Jornal "O Dia";SP
09.527.023/0001-23;2022-01-01;1;116363;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;portalneo1.net;SP
09.527.023/0001-23;2022-01-01;1;116363;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;ri.esgparticipacoes.com;SP
09.538.973/0001-53;2022-01-01;1;115911;PDG COMPANHIA SECURITIZADORA;Valor Econômico;SP
09.584.854/0001-37;2022-01-01;1;120697;MANAUS TRANSMISSORA DE ENERGIA S.A;Diário Oficial da União;BR
09.584.854/0001-37;2022-01-01;1;120697;MANAUS TRANSMISSORA DE ENERGIA S.A;Valor Econômico;RJ
09.611.768/0001-76;2022-01-01;1;116107;INTER CONSTRUTORA E INCORPORADORA S.A.;Tribuna de Minas (Juiz de Fora);MG
09.625.321/0001-56;2022-01-01;1;120696;Norte Brasil Transmissora de Energia S.A.;Diário Oficial da União;BR
09.625.321/0001-56;2022-01-01;1;120696;Norte Brasil Transmissora de Energia S.A.;https://valor.globo.com/valor-ri/fatos-relevantes/;BR
09.625.321/0001-56;2022-01-01;1;120696;Norte Brasil Transmissora de Energia S.A.;Valor Econômico;RJ
09.813.204/0001-16;2022-01-01;2;116755;W2W E-COMMERCE DE VINHOS S.A.;A Gazeta;ES
09.813.204/0001-16;2022-01-01;2;116755;W2W E-COMMERCE DE VINHOS S.A.;Diário Oficial do Espírito Santo;ES
10.139.870/0001-08;2022-01-01;2;115919;NEOGRID PARTICIPAÇÕES S.A.;Valor Econômico;SP
10.215.988/0001-60;2022-01-01;4;122248;CIA LOCAÇÃO DAS AMÉRICAS;Hoje em Dia;MG
10.234.027/0001-00;2022-01-01;3;120674;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S/A;Diário do Comércio;MG
10.234.027/0001-00;2022-01-01;3;120674;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S/A;https://ri.energisa.com.br;MG
10.234.027/0001-00;2022-01-01;3;120674;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S/A;https://www.rad.cvm.gov.br/ENET/frmConsultaExternaCVM.aspx;RJ
10.240.186/0001-00;2022-01-01;3;120660;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S/A;Diário do Comércio;MG
10.240.186/0001-00;2022-01-01;3;120660;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S/A;https://ri.energisa.com.br;MG
10.240.186/0001-00;2022-01-01;3;120660;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S/A;https://www.rad.cvm.gov.br/ENET/frmConsultaExternaCVM.aspx;RJ
10.285.590/0001-08;2022-01-01;2;116307;GRUPO DE MODA SOMA S.A.;Diário Comercial;RJ
10.285.590/0001-08;2022-01-01;2;116307;GRUPO DE MODA SOMA S.A.;Portal NEO1 - https://www.portalneo1.net/;RJ
10.319.900/0001-50;2022-01-01;2;120306;Ciclus Ambiental do Brasil S.A;Jornal Monitor Mercantil;RJ
10.324.624/0001-18;2022-01-01;5;116245;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;Valor Econômico RJ;RJ
