CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
03.014.553/0001-91;2023-12-31;5;137796;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Liderança;1;13;12
03.014.553/0001-91;2023-12-31;5;137796;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Não-liderança;6;23;5
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL S.A.;Liderança;49;596;78
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL S.A.;Não-liderança;1787;4591;792
03.303.999/0001-36;2023-12-31;2;137637;DTCOM - DIRECT TO COMPANY S.A.;Liderança;0;4;1
03.303.999/0001-36;2023-12-31;2;137637;DTCOM - DIRECT TO COMPANY S.A.;Não-liderança;12;21;2
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;Liderança;0;44;7
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;Não-liderança;148;668;402
03.378.521/0001-75;2023-12-31;14;137859;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;3;135;22
03.378.521/0001-75;2023-12-31;14;137859;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;672;3104;548
03.467.321/0001-99;2023-12-31;9;137724;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Liderança;9;116;11
03.467.321/0001-99;2023-12-31;9;137724;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Não-liderança;552;1648;98
03.494.776/0001-01;2023-12-31;3;136822;AMMO VAREJO S.A.;Liderança;17;142;16
03.494.776/0001-01;2023-12-31;3;136822;AMMO VAREJO S.A.;Não-liderança;270;391;106
03.758.318/0001-24;2023-12-31;11;136579;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Liderança;4;162;30
03.758.318/0001-24;2023-12-31;11;136579;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Não-liderança;617;1268;178
03.795.050/0001-09;2023-12-31;3;135958;TERMOPERNAMBUCO S.A.;Liderança;0;6;2
03.795.050/0001-09;2023-12-31;3;135958;TERMOPERNAMBUCO S.A.;Não-liderança;4;44;2
03.802.115/0001-98;2023-12-31;5;133891;CLEAR SALE S.A.;Liderança;29;265;15
03.802.115/0001-98;2023-12-31;5;133891;CLEAR SALE S.A.;Não-liderança;1169;1255;46
03.847.461/0001-92;2023-12-31;7;137283;BRADESPAR S.A.;Liderança;0;2;17
03.847.461/0001-92;2023-12-31;7;137283;BRADESPAR S.A.;Não-liderança;0;0;2
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;Liderança;238;1815;630
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;Não-liderança;10356;15388;4107
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;Liderança;6;150;13
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;Não-liderança;558;2150;267
04.030.182/0001-02;2023-12-31;3;135675;CABINDA PARTICIPACOES S.A.;Liderança;0;0;1
04.030.182/0001-02;2023-12-31;3;135675;CABINDA PARTICIPACOES S.A.;Não-liderança;0;0;1
04.031.213/0001-31;2023-12-31;3;130703;CACONDE PARTICIPACOES S.A.;Liderança;0;0;1
04.031.213/0001-31;2023-12-31;3;130703;CACONDE PARTICIPACOES S.A.;Não-liderança;0;0;1
04.032.433/0001-80;2023-12-31;8;134628;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;145;326;13
04.032.433/0001-80;2023-12-31;8;134628;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;3495;4242;27
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;Liderança;0;0;1
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;Não-liderança;0;0;1
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Liderança;0;57;11
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Não-liderança;339;398;70
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;Liderança;7;243;55
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;Não-liderança;688;1121;165
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;Liderança;7;63;8
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;Não-liderança;166;242;10
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Liderança;10;261;53
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Não-liderança;1486;2669;414
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;Liderança;1;1;2
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;Não-liderança;6;6;0
04.212.396/0001-91;2023-12-31;6;136490;VOKE S.A.;Liderança;9;89;8
04.212.396/0001-91;2023-12-31;6;136490;VOKE S.A.;Não-liderança;236;415;18
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;Liderança;6;223;46
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;Não-liderança;233;889;93
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;Liderança;1;17;2
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;Não-liderança;27;73;1
04.752.991/0001-10;2023-12-31;20;141370;BIOMM S.A.;Liderança;1;40;27
04.752.991/0001-10;2023-12-31;20;141370;BIOMM S.A.;Não-liderança;20;62;6
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;Liderança;32;64;23
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;Não-liderança;429;465;153
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Liderança;3;112;14
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Não-liderança;136;782;209
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;Liderança;10;458;160
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;Não-liderança;155;1099;985
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;Liderança;0;3;0
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;Não-liderança;0;8;0
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;Liderança;33;507;109
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;Não-liderança;128;1322;497
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;Liderança;123;433;51
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;Não-liderança;3913;3106;474
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;Liderança;195;1030;173
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;Não-liderança;3190;7542;1452
04.992.714/0001-84;2023-12-31;10;136720;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Liderança;1;36;8
04.992.714/0001-84;2023-12-31;10;136720;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Não-liderança;35;152;15
05.197.443/0001-38;2023-12-31;18;137749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Liderança;497;3001;416
05.197.443/0001-38;2023-12-31;18;137749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Não-liderança;22869;35463;4913
05.303.439/0001-07;2023-12-31;9;151870;UNIGEL PARTICIPAÇÕES S.A.;Liderança;3;145;124
05.303.439/0001-07;2023-12-31;9;151870;UNIGEL PARTICIPAÇÕES S.A.;Não-liderança;381;1001;335
05.347.060/0001-07;2023-12-31;4;135611;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Liderança;18;129;12
05.347.060/0001-07;2023-12-31;4;135611;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Não-liderança;458;423;44
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;Liderança;27;277;50
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;Não-liderança;688;1354;213
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Liderança;3;28;10
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Não-liderança;93;167;18
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;Liderança;3;211;79
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;Não-liderança;20162;43884;6687
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Liderança;1511;4284;399
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Não-liderança;32750;30406;4548
